,x,y,z,t,batnum,emission_point
0,2.7570570570570574,2.4927927927927933,3.112612612612613,0.0,1,False
1,2.740383221914262,2.4887427864102567,3.1290716486892265,0.002,1,False
2,2.723797508418943,2.4847410589568986,3.1454351232353686,0.004,1,False
3,2.707299746909436,2.4807874550107702,3.1617032174683453,0.006,1,False
4,2.6908897677240735,2.476881819149917,3.177876112605462,0.008,1,False
5,2.67456740120119,2.4730239959523885,3.193953989864026,0.01,1,False
6,2.6583324776791217,2.4692138299962316,3.209937030461341,0.012,1,False
7,2.642184827496203,2.4654511658594944,3.225825415614715,0.014,1,False
8,2.6261242809907674,2.4617358481202265,3.241619326541455,0.016,1,False
9,2.6101506685011486,2.458067721356473,3.2573189444588624,0.018000000000000002,1,False
10,2.5942638203656836,2.454446630146285,3.272924450584248,0.02,1,False
11,2.578463566922705,2.450872419067708,3.288436026134915,0.022,1,False
12,2.562749738510548,2.447344932698792,3.303853852328171,0.024,1,False
13,2.547122165467546,2.443864015617583,3.31917811038132,0.026000000000000002,1,False
14,2.5315806781320362,2.440429512402131,3.33440898151167,0.028,1,False
15,2.5161251068423507,2.4370412676304825,3.3495466469365267,0.03,1,False
16,2.5007552819368244,2.4336991258806853,3.364591287873195,0.032,1,False
17,2.485471033753793,2.4304029317307894,3.3795430855389825,0.034,1,False
18,2.470272192631589,2.42715252975884,3.3944022211511924,0.036000000000000004,1,False
19,2.4551585889085494,2.4239477645428877,3.4091688759271332,0.038,1,False
20,2.4401300529230063,2.4207884806609785,3.4238432310841103,0.04,1,False
21,2.4251864150132953,2.4176745226911613,3.4384254678394286,0.042,1,False
22,2.410327505517753,2.4146057352114845,3.4529157674103965,0.044,1,False
23,2.39555315477471,2.4115819627999957,3.467314311014317,0.046,1,False
24,2.380863193122503,2.408603050034743,3.4816212798684982,0.048,1,False
25,2.3662574508994663,2.4056688414937732,3.4958368551902446,0.05,1,False
26,2.3517357584439345,2.402779181755136,3.509961218196864,0.052000000000000005,1,False
27,2.337297946094243,2.399933915396879,3.5239945501056615,0.054,1,False
28,2.322943844188724,2.3971328869970487,3.537937032133942,0.056,1,False
29,2.308673283065713,2.394375941133695,3.5517888454990123,0.058,1,False
30,2.294486093063546,2.3916629223848656,3.5655501714181788,0.06,1,False
31,2.280382104520556,2.388993675328608,3.5792211911087484,0.062,1,False
32,2.2663611477750774,2.386368044542969,3.592802085788024,0.064,1,False
33,2.252423053165445,2.383785874605999,3.6062930366733137,0.066,1,False
34,2.2385676510299937,2.3812470100957444,3.6196942249819233,0.068,1,False
35,2.2247947717070584,2.378751295590253,3.6330058319311593,0.07,1,False
36,2.2111042455349725,2.3762985756675743,3.646228038738327,0.07200000000000001,1,False
37,2.197495902852071,2.373888694905755,3.6593610266207306,0.074,1,False
38,2.1839695739966887,2.371521497882844,3.6724049767956797,0.076,1,False
39,2.17052508930716,2.369196829176888,3.6853600704804776,0.078,1,False
40,2.157162279121819,2.3669145333659363,3.6982264888924323,0.08,1,False
