,x,y,z,t,batnum,emission_point
0,0.570870870870871,4.457957957957958,3.4249249249249254,0.0,1,False
1,0.6711846163744083,4.408563993686778,3.3727089763471705,0.002,1,False
2,0.7689887550667991,4.359910481823318,3.322262671332888,0.004,1,False
3,0.8643076784265601,4.311992848921739,3.273566274684693,0.006,1,False
4,0.9571657779322066,4.264806521536201,3.226600051205195,0.008,1,False
5,1.0475874450622553,4.218346926220861,3.1813442656970112,0.01,1,False
6,1.1355970712952221,4.172609489529883,3.137779182962751,0.012,1,False
7,1.2212190481096235,4.127589638017423,3.0958850678050296,0.014,1,False
8,1.3044777669839756,4.083282798237644,3.0556421850264597,0.016,1,False
9,1.3853976193967938,4.039684396744705,3.0170307994296537,0.018000000000000002,1,False
10,1.4640029968265946,3.9967898600927656,2.9800311758172255,0.02,1,False
11,1.5403182907518949,3.9545946148359845,2.9446235789917883,0.022,1,False
12,1.6143678926512102,3.913094087528525,2.9107882737559545,0.024,1,False
13,1.6861761940030562,3.8722837047245418,2.878505524912337,0.026000000000000002,1,False
14,1.7557675862859496,3.832158892978199,2.8477555972635495,0.028,1,False
15,1.8231664609784073,3.7927150788436577,2.818518755612206,0.03,1,False
16,1.888397209558944,3.753947688875073,2.7907752647609176,0.032,1,False
17,1.9514842235060768,3.715852149626609,2.764505389512299,0.034,1,False
18,2.012451894298321,3.6784238876524222,2.7396893946689613,0.036000000000000004,1,False
19,2.071324613414192,3.641658329506673,2.716307545033518,0.038,1,False
20,2.1281267723322084,3.6055509017435248,2.694340105408585,0.04,1,False
21,2.182882762530886,3.570097030917134,2.673767340596772,0.042,1,False
22,2.2356169754887385,3.5352921435816627,2.6545695154006936,0.044,1,False
23,2.2863538026842836,3.5011316662912684,2.6367268946229627,0.046,1,False
24,2.3351176355960384,3.4676110256001134,2.620219743066193,0.048,1,False
25,2.381932865702517,3.4347256480623565,2.6050283255329965,0.05,1,False
26,2.4268238844822365,3.4024709602321574,2.5911329068259867,0.052000000000000005,1,False
27,2.469815083413714,3.3708423886636765,2.5785137517477765,0.054,1,False
28,2.510930853975464,3.3398353599110737,2.5671511251009798,0.056,1,False
29,2.5501955876460034,3.309445300528509,2.5570252916882086,0.058,1,False
30,2.587633675903848,3.2796676370701396,2.5481165163120756,0.06,1,False
31,2.6232695102275145,3.250497796090131,2.540405063775196,0.062,1,False
32,2.6571274820955195,3.221931204142639,2.5338711988801816,0.064,1,False
33,2.689231982986378,3.1939632877818243,2.5284951864296454,0.066,1,False
34,2.7196074043786056,3.1665894735618463,2.5242572912262,0.068,1,False
35,2.7482781377507206,3.1398051880368665,2.5211377780724593,0.07,1,False
36,2.775268574581238,3.1136058577610446,2.519116911771037,0.07200000000000001,1,False
37,2.8006031063486723,3.0879869092885386,2.5181749571245438,0.074,1,False
38,2.8243061245315424,3.0629437691735095,2.518292178935595,0.076,1,False
39,2.8464020206083624,3.038471863970118,2.5194488420068035,0.078,1,False
40,2.8669151860576507,3.014566620232523,2.521625211140781,0.08,1,False
41,2.885870012357921,2.9912234645148854,2.5248015511401425,0.082,1,False
42,2.90329089098769,2.9684378233713633,2.528958126807498,0.084,1,False
43,2.919202213425475,2.946205123356118,2.5340752029454636,0.08600000000000001,1,False
44,2.9336283711497915,2.9245207910233106,2.5401330443566525,0.088,1,False
45,2.9465937556391553,2.9033802529270987,2.547111915843675,0.09,1,False
46,2.9581227583720833,2.882778935621644,2.5549920822091465,0.092,1,False
47,2.96823977082709,2.862712265661104,2.5637538082556794,0.094,1,False
48,2.9769691844826935,2.8431756695996397,2.5733773587858866,0.096,1,False
49,2.984335390817409,2.8241645739914127,2.583842998602381,0.098,1,False
50,2.9903627813097526,2.805674405390581,2.595130992507777,0.1,1,False
51,2.9950757474382406,2.787700590351306,2.607221605304686,0.10200000000000001,1,False
52,2.9984986806813887,2.7702385554277456,2.6200951017957212,0.10400000000000001,1,False
53,3.0006559725177144,2.7532837271740624,2.6337317467834973,0.106,1,False
54,3.0015720144257325,2.736831532144414,2.6481118050706267,0.108,1,False
55,3.001271197883959,2.7208773968929605,2.6632155414597207,0.11,1,False
56,2.99977791437091,2.7054167479738616,2.679023220753394,0.112,1,False
57,2.9971165553651034,2.69044501194128,2.6955151077542596,0.114,1,False
58,2.9933115123450533,2.6759576153493723,2.712671467264931,0.116,1,False
59,2.9883871767892782,2.661949984752301,2.730472564088021,0.11800000000000001,1,False
60,2.9823679401762915,2.648417546704223,2.748898663026141,0.12,1,False
61,2.97527819398461,2.6353557277593005,2.767930028881906,0.122,1,False
62,2.9671423296927513,2.622759954471693,2.7875469264579293,0.124,1,False
63,2.9579847387792295,2.61062565339556,2.807729620556823,0.126,1,False
64,2.9478298127225635,2.598948251085062,2.8284583759811994,0.128,1,False
65,2.936701943001266,2.5877231740943585,2.8497134575336736,0.13,1,False
66,2.924625521093857,2.57694584897761,2.8714751300168575,0.132,1,False
67,2.9116249384788477,2.566611702288974,2.8937236582333634,0.134,1,False
68,2.897724586634759,2.556716160582614,2.916439306985806,0.136,1,False
69,2.8829488570401045,2.5472546504126874,2.9396023410767973,0.138,1,False
70,2.867322141173403,2.538222598333356,2.9631930253089522,0.14,1,False
71,2.850868830513166,2.529615430898777,2.9871916244848813,0.14200000000000002,1,False
72,2.833613316537913,2.5214285746631133,3.011578403407199,0.14400000000000002,1,False
73,2.8155799907261603,2.513657456180523,3.036333626878518,0.146,1,False
74,2.7967932445564214,2.5062975020051654,3.0614375597014507,0.148,1,False
75,2.7772774695072155,2.4993441386912028,3.086870466678612,0.15,1,False
76,2.7570570570570574,2.4927927927927933,3.1126126126126135,0.152,1,False
77,2.736156398684463,2.4866388908640973,3.138644262306069,0.154,1,False
78,2.7145998858679476,2.4808778594592744,3.164945680561591,0.156,1,False
79,2.6924119100860295,2.475505125132485,3.1914971321817927,0.158,1,False
80,2.669616862817223,2.4705161144378884,3.218278881969288,0.16,1,False
81,2.646239135540046,2.4659062539296452,3.245271194726688,0.162,1,False
82,2.6223031197330124,2.461670970161915,3.2724543352566084,0.164,1,False
83,2.597833206874641,2.457805689688858,3.2998085683616614,0.166,1,False
84,2.572853788443446,2.454305839064633,3.3273141588444584,0.168,1,False
85,2.5473892559179427,2.451166844843401,3.3549513715076142,0.17,1,False
86,2.5214640007766493,2.448384133579322,3.382700471153741,0.17200000000000001,1,False
87,2.4951024144980822,2.4459531318265557,3.4105417225854535,0.17400000000000002,1,False
88,2.468328888560755,2.4438692661392607,3.438455390605362,0.176,1,False
89,2.4411678144431863,2.4421279630715995,3.4664217400160826,0.178,1,False
90,2.4136435836238914,2.4407246491777297,3.494421035620226,0.18,1,False
91,2.3857805875813862,2.4396547510118127,3.5224335422204063,0.182,1,False
92,2.3576032177941855,2.4389136951280066,3.5504395246192364,0.184,1,False
93,2.3291358657408083,2.4384969080804733,3.5784192476193297,0.186,1,False
94,2.300402922899769,2.438399816423372,3.6063529760232993,0.188,1,False
95,2.271428780749585,2.438617846710862,3.6342209746337577,0.19,1,False
96,2.24223783076877,2.439146425497104,3.6620035082533184,0.192,1,False
97,2.212854464435843,2.4399809793362586,3.6896808416845945,0.194,1,False
98,2.1833030732293186,2.4411169347824835,3.7172332397301995,0.196,1,False
99,2.1536080486277123,2.44254971838994,3.7446409671927445,0.198,1,False
100,2.1237937821095416,2.4442747567127876,3.7718842888748454,0.2,1,False
101,2.0938846651533223,2.446287476305187,3.798943469579113,0.202,1,False
102,2.06390508923757,2.448583303721297,3.8257987741081623,0.20400000000000001,1,False
103,2.0338794458408014,2.4511576655152783,3.852430467264604,0.20600000000000002,1,False
104,2.0038321264415315,2.454005988241291,3.8788188138510526,0.20800000000000002,1,False
105,1.9737875225182788,2.4571236984534943,3.9049440786701215,0.21,1,False
106,1.9437700255495574,2.4605062227060484,3.9307865265244235,0.212,1,False
107,1.9138040270138839,2.464148987553113,3.9563264222165717,0.214,1,False
108,1.8839139183897742,2.4680474195488484,3.9815440305491787,0.216,1,False
109,1.854124091155745,2.4721969452474144,4.006419616324858,0.218,1,False
110,1.8244589367903123,2.4765929912029705,4.030933444346223,0.22,1,False
111,1.7949428467719917,2.481230983969677,4.0550657794158855,0.222,1,False
112,1.7656002125793004,2.4861063501016947,4.078796886336461,0.224,1,False
113,1.7364554256907547,2.4912145161531813,4.1021070299105595,0.226,1,False
114,1.7075328775848688,2.496550908678298,4.124976474940795,0.228,1,False
115,1.6788569597401604,2.502110954231205,4.147385486229783,0.23,1,False
116,1.6504520636351452,2.507890079366063,4.169314328580135,0.232,1,False
117,1.6223425807483394,2.5138837106370286,4.190743266794461,0.234,1,False
118,1.594552902558259,2.5200872745982656,4.211652565675379,0.23600000000000002,1,False
119,1.5671074205434206,2.5264961978039318,4.232022490025501,0.23800000000000002,1,False
120,1.5400305261823397,2.5331059068081867,4.2518333046474375,0.24,1,False
121,1.513346610953533,2.539911828165192,4.271065274343804,0.242,1,False
122,1.4870800663355164,2.5469093884291056,4.2896986639172106,0.244,1,False
123,1.4612552838068058,2.55409401415409,4.307713738170276,0.246,1,False
124,1.4358966548459176,2.5614611318943026,4.325090761905607,0.248,1,False
125,1.4110285709313675,2.569006168203904,4.34180999992582,0.25,1,False
126,1.3866754235416725,2.5767245496370546,4.357851717033528,0.252,1,False
127,1.3628616041553483,2.5846117027479143,4.3731961780313435,0.254,1,False
128,1.3396115042509105,2.592663054090643,4.387823647721881,0.256,1,False
129,1.316949515306876,2.6008740302193996,4.40171439090775,0.258,1,False
130,1.2949000288017611,2.609240057688345,4.414848672391567,0.26,1,False
131,1.273487436214081,2.6177565630516395,4.427206756975943,0.262,1,False
132,1.2527361290223524,2.6264189728634415,4.4387689094634935,0.264,1,False
133,1.2326704987050907,2.6352227136779125,4.449515394656829,0.266,1,True
134,1.213314936740814,2.644163212049212,4.459426477358564,0.268,1,False
135,1.1946938346080365,2.653235894531499,4.468482422371312,0.27,1,False
136,1.1768315837852747,2.6624361876789338,4.476663494497684,0.272,1,False
137,1.1597525757510458,2.6717595180456772,4.483949958540294,0.274,1,False
138,1.1434812019838645,2.681201312185888,4.490322079301756,0.276,1,True
